ano;sigla;regiao;estado;valor;valor_anl_negros_prados;valor_anl_brancos;valor_anl_homem;valor_anl_mulher;valor_pobreza;valor_indice_gini;valor_absoluto_disparidade;valor_despesa_educacao;tipo_indicador;data_carga;data_referencia;valor_populacional;valor_pib
2017;MG;"Região Sudeste      ";"Minas Gerais        ";5,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;MG;"Região Sudeste      ";"Minas Gerais        ";5,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;MG;"Região Sudeste      ";"Minas Gerais        ";5;NULL;NULL;NULL;NULL;27,3;0,487;10309201,217;9644212862,55;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;21168791;NULL
2022;MG;"Região Sudeste      ";"Minas Gerais        ";4,8;NULL;NULL;NULL;NULL;27;0,466;9571634,874;16216052551,59;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;20539989;NULL
2023;MG;"Região Sudeste      ";"Minas Gerais        ";4,6;NULL;NULL;NULL;NULL;19,7695314016148;0,476;9833021,1134183;16754659102,65;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;20657607,3811309;1918
2017;MS;"Região Centro-Oeste ";"Mato Grosso do Sul  ";4,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;MS;"Região Centro-Oeste ";"Mato Grosso do Sul  ";4,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;MS;"Região Centro-Oeste ";"Mato Grosso do Sul  ";4,6;NULL;NULL;NULL;NULL;22,2;0,483;1342250,238;1846038838,43;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;2778986;NULL
2022;MS;"Região Centro-Oeste ";"Mato Grosso do Sul  ";4;NULL;NULL;NULL;NULL;21,3;0,478;1317852,214;2912106957,55;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;2757013;NULL
2023;MS;"Região Centro-Oeste ";"Mato Grosso do Sul  ";3,9;NULL;NULL;NULL;NULL;19,2788580195199;0,477;1329263,54660967;3292561617;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;2786716,03062824;2030
2017;MT;"Região Centro-Oeste ";"Mato Grosso         ";6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;MT;"Região Centro-Oeste ";"Mato Grosso         ";6,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;MT;"Região Centro-Oeste ";"Mato Grosso         ";5,6;NULL;NULL;NULL;NULL;23;0,454;1581947,564;2787323421,22;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;3484466;NULL
2022;MT;"Região Centro-Oeste ";"Mato Grosso         ";4,9;NULL;NULL;NULL;NULL;22,1;0,45;1646392,05;4884443573,95;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;3658649;NULL
2023;MT;"Região Centro-Oeste ";"Mato Grosso         ";4,5;NULL;NULL;NULL;NULL;17,2426881577232;0,452;1673234,7352685;5496034001,5;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;3701846,75944359;1991
2016;"N ";"Região Norte        ";NULL;7,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2016-12-01;NULL;NULL
2017;"N ";"Região Norte        ";NULL;7,6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;"N ";"Região Norte        ";NULL;7,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;"N ";"Região Norte        ";NULL;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2019-12-01;NULL;NULL
2022;"N ";"Região Norte        ";NULL;6,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2022-12-01;NULL;NULL
2023;"N ";"Região Norte        ";NULL;6,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2023-12-01;NULL;NULL
2016;NE;"Região Nordeste     ";NULL;13,9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2016-12-01;NULL;NULL
2017;NE;"Região Nordeste     ";NULL;13,7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;NE;"Região Nordeste     ";NULL;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO REGIAO                      ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
